Month,LTOTL
9/2/31,5022.7
9/9/31,5007.365
9/16/31,5237.219
9/23/31,5008.451
9/30/31,5088.139
10/7/31,5263.822
10/14/31,5485.968
10/21/31,5387.798
10/28/31,5292.265
11/4/31,5225.827
11/11/31,5265.119
11/18/31,5253.904
11/25/31,5187.255
12/2/31,5199.22
12/9/31,5164.899
12/16/31,5407.774
12/23/31,5293.469
12/30/31,5550.631
1/6/32,5296.305
1/13/32,5218.471
1/20/32,5201.784
1/27/32,5104.856
2/3/32,5115.47
2/10/32,5049.206
2/17/32,5110.448
2/24/32,5041.648
3/2/32,5018.908
3/9/32,4983.574
3/16/32,5034.963
3/23/32,4926.554
3/30/32,4923.593
4/6/32,4965.051
4/13/32,5094.475
4/20/32,5097.74
4/27/32,5133.447
5/4/32,5189.615
5/11/32,5201.413
5/18/32,5267.081
5/25/32,5221.051
6/1/32,5235.837
6/8/32,5132.446
6/15/32,5220.88
6/22/32,5167.926
6/29/32,5228.206
7/6/32,5317.734
7/13/32,5354.609
7/20/32,5379.778
7/27/32,5355.366
8/3/32,5333.281
8/10/32,5310.601
8/17/32,5390.143
8/24/32,5359.691
8/31/32,5402.502
9/7/32,5416.115
9/14/32,5535.075
9/21/32,5466.977
9/28/32,5449.666
10/5/32,5491.238
10/12/32,5501.942
10/19/32,5543.269
10/26/32,5528.391
11/2/32,5551.852
11/9/32,5486.478
11/16/32,5634.441
11/23/32,5550.718
11/30/32,5574.682
12/7/32,5553.682
12/14/32,5642.327
12/21/32,5665.074
12/28/32,5694.395
1/4/33,5779.698
1/11/33,5683.235
1/18/33,5667.489
1/25/33,5614.865
2/1/33,5619.294
2/8/33,5585.652
2/15/33,5675.871
2/22/33,5746.704
3/1/33,6165.231
3/8/33,6615.928
3/15/33,6787.719
3/22/33,6479.248
3/29/33,6321.581
4/5/33,6196.766
4/12/33,6182.791
4/19/33,6209.095
4/26/33,6147.273
5/3/33,6169.097
5/10/33,6063.676
5/17/33,6079.169
5/24/33,6046.308
5/31/33,6037.557
6/7/33,6056.879
6/14/33,6144.137
6/21/33,6099.477
6/28/33,6058.662
7/5/33,6071.607
7/12/33,6134.084
7/19/33,6140.69
7/26/33,6094.126
8/2/33,6106.228
8/9/33,6081.345
8/16/33,6175.65
8/23/33,6147.17
8/30/33,6170.693
9/6/33,6216.301
9/13/33,6313.837
9/20/33,6350.75
9/27/33,6345.969
10/4/33,6399.239
10/11/33,6382.609
10/18/33,6480.004
10/25/33,6450.762
11/1/33,6499.322
11/8/33,6395.881
11/15/33,6601.275
11/22/33,6476.919
11/29/33,6441.605
12/6/33,6482.9
12/13/33,6603.933
12/20/33,6578.307
12/27/33,6569.923
1/3/34,6670.986
1/10/34,6605.939
1/17/34,6654.74
1/24/34,6606.933
1/31/34,6565.654
2/7/34,6520.202
2/14/34,6711.528
2/21/34,6715.129
2/28/34,6886.009
3/7/34,7102.185
3/14/34,7291.35
3/21/34,7267.494
3/28/34,7221.992
4/4/34,7270.08
4/11/34,7336.87
